Date,,Berri1,Berri1 IN,Berri1 OUT,CSC,CSC IN,CSC OUT,Maisonneuve_1,Mais1 IN,Mais1 OUT,Maisonneuve_2,Mais2 IN,Mais2 OUT,Parc,Parc IN,Parc OUT,PierDup,PierDup IN,PierDup OUT,Rachel1,Rachel1 IN,Rachel1 OUT,Saint-Urbain,Saint-Urbain New_IN,Saint-Urbain New_OUT,Totem_Laurier,Totem_Laurier_IN,Totem_Laurier_OUT
30/01/2009,0:00,105,7,98,,,,60,32,28,106,57,49,,,,,,,,,,,,,,,
31/01/2009,0:00,25,12,13,,,,13,7,6,20,12,8,,,,,,,,,,,,,,,
01/02/2009,0:00,14,1,13,,,,2,1,1,2,1,1,,,,,,,,,,,,,,,
02/02/2009,0:00,158,9,149,,,,98,52,46,174,93,81,,,,,,,,,,,,,,,
03/02/2009,0:00,179,8,171,,,,82,45,37,149,80,69,,,,,,,,,,,,,,,
04/02/2009,0:00,122,2,120,,,,63,33,30,149,78,71,,,,,,,,,,,,,,,
05/02/2009,0:00,95,8,87,,,,54,28,26,72,41,31,,,,,,,,,,,,,,,
06/02/2009,0:00,185,26,159,,,,111,59,52,198,106,92,,,,,,,,,,,,,,,
07/02/2009,0:00,95,46,49,,,,56,29,27,73,39,34,,,,,,,,,,,,,,,
08/02/2009,0:00,82,50,32,,,,44,22,22,79,43,36,,,,,,,,,,,,,,,
09/02/2009,0:00,190,94,96,,,,112,61,51,190,100,90,,,,,,,,,,,,,,,
10/02/2009,0:00,228,133,95,,,,101,53,48,260,141,119,,,,,,,,,,,,,,,
11/02/2009,0:00,306,169,137,,,,166,82,84,304,162,142,,,,,,,,,,,,,,,
12/02/2009,0:00,188,88,100,,,,95,50,45,231,126,105,,,,,,,,,,,,,,,
13/02/2009,0:00,209,76,133,,,,127,67,60,222,120,102,,,,,,,,,,,,,,,
14/02/2009,0:00,98,49,49,,,,56,29,27,85,45,40,,,,,,,,,,,,,,,
15/02/2009,0:00,139,61,78,,,,77,38,39,101,56,45,,,,,,,,,,,,,,,
16/02/2009,0:00,258,148,110,,,,155,84,71,291,158,133,,,,,,,,,,,,,,,
17/02/2009,0:00,304,157,147,,,,133,71,62,348,189,159,,,,,,,,,,,,,,,
18/02/2009,0:00,326,152,174,,,,176,90,86,371,200,171,,,,,,,,,,,,,,,
19/02/2009,0:00,134,50,84,,,,69,36,33,173,94,79,,,,,,,,,,,,,,,
20/02/2009,0:00,125,76,49,,,,73,38,35,163,90,73,,,,,,,,,,,,,,,
21/02/2009,0:00,96,54,42,,,,56,29,27,73,39,34,,,,,,,,,,,,,,,
22/02/2009,0:00,65,35,30,,,,37,20,17,61,35,26,,,,,,,,,,,,,,,
23/02/2009,0:00,123,55,68,,,,73,38,35,117,64,53,,,,,,,,,,,,,,,
24/02/2009,0:00,129,80,49,,,,55,30,25,129,71,58,,,,,,,,,,,,,,,
25/02/2009,0:00,154,139,15,,,,81,42,39,150,79,71,,,,,,,,,,,,,,,
26/02/2009,0:00,239,200,39,,,,126,66,60,313,170,143,,,,,,,,,,,,,,,
27/02/2009,0:00,198,128,70,,,,121,65,56,157,83,74,,,,,,,,,,,,,,,
28/02/2009,0:00,32,17,15,,,,17,10,7,17,10,7,,,,,,,,,,,,,,,
01/03/2009,0:00,67,31,36,,,,30,15,15,80,43,37,,,,,,,,,,,,,,,
02/03/2009,0:00,105,60,45,,,,63,35,28,93,49,44,,,,,,,,,,,,,,,
03/03/2009,0:00,157,83,74,,,,86,45,41,197,106,91,,,,,,,,,,,,,,,
04/03/2009,0:00,164,97,67,,,,102,52,50,156,82,74,,,,,,,,,,,,,,,
05/03/2009,0:00,300,182,118,,,,147,78,69,378,203,175,,,,,,,,,,,,,,,
06/03/2009,0:00,176,94,82,,,,89,46,43,198,107,91,,,,,,,,,,,,,,,
07/03/2009,0:00,195,97,98,,,,104,53,51,199,107,92,,,,,,,,,,,,,,,
08/03/2009,0:00,310,156,154,,,,151,79,72,239,132,107,,,,,,,,,,,,,,,
09/03/2009,0:00,7,2,5,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,
10/03/2009,0:00,366,179,187,,,,203,106,97,354,188,166,,,,,,,,,,,,,,,
11/03/2009,0:00,234,117,117,,,,143,74,69,290,153,137,,,,,,,,,,,,,,,
12/03/2009,0:00,132,93,39,,,,64,33,31,166,90,76,,,,,,,,,,,,,,,
